id,plan,area,age,premium
0,p01,r10,20,146.00
1,p01,r10,21,229.00
2,p01,r10,22,229.00
3,p01,r10,23,229.00
4,p01,r10,24,229.00
5,p01,r10,25,230.00
6,p01,r10,26,235.00
7,p01,r10,27,240.00
8,p01,r10,28,249.00
9,p01,r10,29,257.00
10,p01,r10,30,260.00
11,p01,r10,31,266.00
12,p01,r10,32,271.00
13,p01,r10,33,275.00
14,p01,r10,34,279.00
15,p01,r10,35,280.00
16,p01,r10,36,282.00
17,p01,r10,37,284.00
18,p01,r10,38,286.00
19,p01,r10,39,290.00
20,p01,r10,40,293.00
21,p01,r10,41,299.00
22,p01,r10,42,304.00
23,p01,r10,43,311.00
24,p01,r10,44,321.00
25,p01,r10,45,331.00
26,p01,r10,46,344.00
27,p01,r10,47,359.00
28,p01,r10,48,375.00
29,p01,r10,49,391.00
30,p01,r10,50,410.00
31,p01,r10,51,428.00
32,p01,r10,52,448.00
33,p01,r10,53,468.00
34,p01,r10,54,490.00
35,p01,r10,55,512.00
36,p01,r10,56,535.00
37,p01,r10,57,559.00
38,p01,r10,58,585.00
39,p01,r10,59,597.00
40,p01,r10,60,623.00
41,p01,r10,61,645.00
42,p01,r10,62,659.00
43,p01,r10,63,677.00
44,p01,r10,64,686.00
45,p01,r10,65,686.00
46,p01,r15,20,146.00
47,p01,r15,21,229.00
48,p01,r15,22,229.00
49,p01,r15,23,229.00
50,p01,r15,24,229.00
51,p01,r15,25,230.00
52,p01,r15,26,235.00
53,p01,r15,27,240.00
54,p01,r15,28,249.00
55,p01,r15,29,257.00
56,p01,r15,30,260.00
57,p01,r15,31,266.00
58,p01,r15,32,271.00
59,p01,r15,33,275.00
60,p01,r15,34,279.00
61,p01,r15,35,280.00
62,p01,r15,36,282.00
63,p01,r15,37,284.00
64,p01,r15,38,286.00
65,p01,r15,39,290.00
66,p01,r15,40,293.00
67,p01,r15,41,299.00
68,p01,r15,42,304.00
69,p01,r15,43,311.00
70,p01,r15,44,321.00
71,p01,r15,45,331.00
72,p01,r15,46,344.00
73,p01,r15,47,359.00
74,p01,r15,48,375.00
75,p01,r15,49,391.00
76,p01,r15,50,410.00
77,p01,r15,51,428.00
78,p01,r15,52,448.00
79,p01,r15,53,468.00
80,p01,r15,54,490.00
81,p01,r15,55,512.00
82,p01,r15,56,535.00
83,p01,r15,57,559.00
84,p01,r15,58,585.00
85,p01,r15,59,597.00
86,p01,r15,60,623.00
87,p01,r15,61,645.00
88,p01,r15,62,659.00
89,p01,r15,63,677.00
90,p01,r15,64,686.00
91,p01,r15,65,686.00
92,p01,r16,20,111.00
93,p01,r16,21,174.00
94,p01,r16,22,174.00
95,p01,r16,23,174.00
96,p01,r16,24,174.00
97,p01,r16,25,175.00
98,p01,r16,26,179.00
99,p01,r16,27,183.00
100,p01,r16,28,190.00
101,p01,r16,29,195.00
102,p01,r16,30,198.00
103,p01,r16,31,202.00
104,p01,r16,32,206.00
105,p01,r16,33,209.00
106,p01,r16,34,212.00
107,p01,r16,35,213.00
108,p01,r16,36,215.00
109,p01,r16,37,216.00
110,p01,r16,38,217.00
111,p01,r16,39,220.00
112,p01,r16,40,223.00
113,p01,r16,41,227.00
114,p01,r16,42,231.00
115,p01,r16,43,237.00
116,p01,r16,44,244.00
117,p01,r16,45,252.00
118,p01,r16,46,262.00
119,p01,r16,47,273.00
120,p01,r16,48,285.00
121,p01,r16,49,298.00
122,p01,r16,50,312.00
123,p01,r16,51,325.00
124,p01,r16,52,341.00
125,p01,r16,53,356.00
126,p01,r16,54,372.00
127,p01,r16,55,389.00
128,p01,r16,56,407.00
129,p01,r16,57,425.00
130,p01,r16,58,444.00
131,p01,r16,59,454.00
132,p01,r16,60,473.00
133,p01,r16,61,490.00
134,p01,r16,62,501.00
135,p01,r16,63,515.00
136,p01,r16,64,522.00
137,p01,r16,65,522.00
138,p01,r28,20,133.00
139,p01,r28,21,210.00
140,p01,r28,22,210.00
141,p01,r28,23,210.00
142,p01,r28,24,210.00
143,p01,r28,25,211.00
144,p01,r28,26,215.00
145,p01,r28,27,220.00
